conference,normalized_name,truth_raw_names,truth_sources,truth_source_files,truth_occurrence_count,truth_unique_file_count
2021ABI,alexandra dickinson,Alexandra Dickinson,root[2].members,analysis_v1/data/2021ABI/2021ABI_outcome.json,1,1
2021ABI,alexandra walsh,Alexandra Walsh,root[10].members | root[16].members,analysis_v1/data/2021ABI/2021ABI_outcome.json,2,1
2021ABI,seunghyun sim,Seunghyun Sim,root[10].members,analysis_v1/data/2021ABI/2021ABI_outcome.json,1,1
2021ABI,srigokul upadhyayula,Srigokul Upadhyayula,root[4].members,analysis_v1/data/2021ABI/2021ABI_outcome.json,1,1
2021ABI,ulugbek kamilov,Ulugbek Kamilov,root[6].members | root[8].members,analysis_v1/data/2021ABI/2021ABI_outcome.json,2,1
2021CMC,alexander green,Alexander Green,root[5].members,analysis_v1/data/2021CMC/2021CMC_outcome.json,1,1
2021CMC,g w gant luxton,G.W. Gant Luxton,root[17].members,analysis_v1/data/2021CMC/2021CMC_outcome.json,1,1
2021CMC,maria kamenetska,Maria (Masha) Kamenetska,root[13].members | root[15].members,analysis_v1/data/2021CMC/2021CMC_outcome.json,2,1
2021CMC,rongsheng wang,Rongsheng (Ross) Wang,root[14].members,analysis_v1/data/2021CMC/2021CMC_outcome.json,1,1
2021CMC,s stephen yi,S. Stephen Yi,root[10].members | root[18].members,analysis_v1/data/2021CMC/2021CMC_outcome.json,2,1
2021MND,john paul yu,John-Paul Yu,root[12].members | root[17].members,analysis_v1/data/2021MND/2021MND_outcome.json,2,1
2021MND,kaixiong ye,Kaixiong Ye,root[2].members | root[9].members,analysis_v1/data/2021MND/2021MND_outcome.json,2,1
2021MZT,matthew w hopken,Matthew W. Hopken,root[16].members | root[3].members,analysis_v1/data/2021MZT/2021MZT_outcome.json,2,1
2021MZT,rebecca l smith,Rebecca L Smith,root[12].members,analysis_v1/data/2021MZT/2021MZT_outcome.json,1,1
2021NES,kandis gilliard abdul aziz,Kandis Gilliard Abdul-Aziz,root[2].members,analysis_v1/data/2021NES/2021NES_outcome.json,1,1
2021NES,t leo liu,T. Leo Liu,root[11].members,analysis_v1/data/2021NES/2021NES_outcome.json,1,1
2021NES,william j bowman,William J. Bowman,root[12].members,analysis_v1/data/2021NES/2021NES_outcome.json,1,1
